SiteName;Port;HostHeader;BindingInformation;CertificateHash;CertificateSubject;CertificateIssuer;CertificateExpiry;CertificateFriendlyName;CertificateStatus;CertificateType;BindingType;Server
Site_blog;8072;blog.optimedit.eu;*:8072:blog.optimedit.eu;901B1A3C83B3426A9711000C10DFC327AD064AC8;CN=opt-iis-02.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 13:29;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS ARR (8072);OPT-IIS-02.optimedit.eu
Site_direction;443;direction.optimedit.eu;*:443:direction.optimedit.eu;DEB953044FC2D661A5904BF44EFD22985D4B4FC9;CN=opt-iis-03.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 18:17;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS Public (443);OPT-IIS-03.optimedit.eu
Site_direction;8060;direction.optimedit.eu;*:8060:direction.optimedit.eu;DEB953044FC2D661A5904BF44EFD22985D4B4FC9;CN=opt-iis-03.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 18:17;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS ARR (8060);OPT-IIS-03.optimedit.eu
Site_comptabilite;443;comptabilite.optimedit.eu;*:443:comptabilite.optimedit.eu;DEB953044FC2D661A5904BF44EFD22985D4B4FC9;CN=opt-iis-03.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 18:17;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS Public (443);OPT-IIS-03.optimedit.eu
Site_comptabilite;8061;comptabilite.optimedit.eu;*:8061:comptabilite.optimedit.eu;DEB953044FC2D661A5904BF44EFD22985D4B4FC9;CN=opt-iis-03.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 18:17;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS ARR (8061);OPT-IIS-03.optimedit.eu
Site_paie;443;paie.optimedit.eu;*:443:paie.optimedit.eu;DEB953044FC2D661A5904BF44EFD22985D4B4FC9;CN=opt-iis-03.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 18:17;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS Public (443);OPT-IIS-03.optimedit.eu
Site_paie;8062;paie.optimedit.eu;*:8062:paie.optimedit.eu;DEB953044FC2D661A5904BF44EFD22985D4B4FC9;CN=opt-iis-03.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 18:17;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS ARR (8062);OPT-IIS-03.optimedit.eu
Site_rh;443;rh.optimedit.eu;*:443:rh.optimedit.eu;DEB953044FC2D661A5904BF44EFD22985D4B4FC9;CN=opt-iis-03.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 18:17;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS Public (443);OPT-IIS-03.optimedit.eu
Site_rh;8063;rh.optimedit.eu;*:8063:rh.optimedit.eu;DEB953044FC2D661A5904BF44EFD22985D4B4FC9;CN=opt-iis-03.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 18:17;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS ARR (8063);OPT-IIS-03.optimedit.eu
Site_ce;443;ce.optimedit.eu;*:443:ce.optimedit.eu;DEB953044FC2D661A5904BF44EFD22985D4B4FC9;CN=opt-iis-03.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 18:17;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS Public (443);OPT-IIS-03.optimedit.eu
